counter;index;instructionType;totalChars 
0;0;original;1861 
23;4104;Literal;1819 
43;4017;Literal;1790 
59;4305;Identifier;1783 
81;5834;Identifier;1781 
101;611;Literal;1742 
106;3709;ReturnStatement;1742 
115;6739;Literal;1704 
118;3647;Literal;1682 
119;5563;Literal;1663 
131;4575;ThisExpression;1651 
133;582;Identifier;1649 
152;5936;Identifier;1620 
184;4179;Identifier;1551 
190;3573;Identifier;1553 
202;4164;ReturnStatement;1553 
203;3576;BlockStatement;1550 
277;5327;Line;1539 
297;582;Identifier;1538 
297;578;BlockStatement;1526 
301;2279;Identifier;1454 
437;4321;Identifier;1438 
519;5704;ReturnStatement;1438 
632;4646;Identifier;1437 
647;4878;Line;1434 
757;5265;Identifier;1422 
