counter;index;instructionType;totalChars 
0;0;original;8743 
10;29928;Literal;8709 
11;5760;BreakStatement;8709 
15;14051;Identifier;8709 
18;26893;Identifier;8709 
20;8747;ThisExpression;8697 
25;3302;Identifier;8697 
26;9097;Literal;8632 
47;21099;Literal;8614 
49;23765;Literal;8611 
61;31626;Literal;8592 
71;20178;Identifier;8568 
76;4487;Line;8502 
79;32682;Identifier;8502 
82;4059;Literal;8435 
86;21837;ThisExpression;8423 
92;4557;Literal;8405 
95;35263;Literal;8388 
100;29697;ThisExpression;8383 
104;6869;Identifier;8381 
108;25950;Literal;8367 
112;11856;Literal;8357 
117;22280;Identifier;8356 
121;13495;Identifier;8339 
129;32510;ReturnStatement;8336 
135;20386;Identifier;8325 
138;7492;Identifier;8323 
146;17144;Identifier;8323 
150;21319;Identifier;8323 
151;19260;Identifier;8323 
152;17717;Literal;8316 
161;22044;Identifier;8315 
175;30883;ReturnStatement;8310 
190;7002;Identifier;8308 
198;8172;Literal;8303 
199;31994;ReturnStatement;8280 
202;6511;Identifier;8251 
223;28376;Literal;8230 
224;10563;Literal;8163 
234;27694;Literal;8138 
236;21927;Identifier;8137 
247;21465;Identifier;8137 
