counter;index;instructionType;totalChars 
0;0;original;86954 
6;143063;Identifier;86929 
13;81787;Identifier;86905 
29;36649;Line;86898 
35;342626;ArrayExpression;86876 
65;354788;Identifier;86862 
75;290629;ThisExpression;86832 
77;400186;Identifier;86771 
77;210770;Line;86793 
78;304199;Identifier;86792 
80;120632;Identifier;86784 
83;43143;Identifier;86739 
84;102675;Identifier;85402 
85;43656;Identifier;85403 
85;337357;Identifier;85359 
86;150244;Literal;85079 
87;319921;Identifier;85071 
95;176116;Literal;85068 
99;368442;Identifier;85032 
101;242623;Identifier;84926 
102;83187;Literal;84908 
103;176854;Line;84882 
105;251185;ThisExpression;84791 
107;91301;Literal;84780 
108;117789;Identifier;84778 
110;36397;Literal;84760 
115;372160;Literal;84759 
116;250294;Identifier;84758 
120;61237;Identifier;84735 
123;384094;Line;84761 
128;428942;Identifier;84722 
129;20078;Identifier;84696 
131;118669;Identifier;84661 
136;305025;Identifier;84655 
137;345320;Identifier;84328 
138;294760;Literal;84318 
140;433752;Identifier;84273 
143;204758;Identifier;83408 
145;49567;Identifier;83413 
150;138013;Identifier;83315 
161;340361;Identifier;83314 
162;9559;Literal;83311 
163;174134;Line;83255 
166;233538;Identifier;83241 
168;69985;Literal;83234 
169;362597;Identifier;83272 
170;284763;Identifier;83253 
174;62138;Literal;83203 
179;226485;Identifier;83136 
182;251301;Identifier;82743 
189;174707;Literal;82742 
191;149095;Identifier;82712 
195;159916;Identifier;82711 
196;85192;Literal;82516 
198;120468;Identifier;82482 
199;200061;Identifier;82473 
201;312705;Literal;82421 
203;308362;Identifier;81956 
204;229209;Identifier;81899 
207;369658;Line;81757 
208;100327;Identifier;81757 
209;80757;Identifier;81472 
214;311025;Literal;81442 
215;407759;Literal;81438 
222;91383;Literal;81437 
223;409041;Identifier;81465 
224;185569;Literal;81441 
231;132383;Identifier;81433 
242;325257;Identifier;81259 
243;389162;Literal;81252 
246;410225;Identifier;81237 
248;306439;Identifier;80910 
249;108706;Identifier;80186 
250;412869;Identifier;80138 
252;403695;Identifier;80127 
254;135696;Identifier;80056 
257;16464;Identifier;80058 
261;246042;Identifier;80019 
267;326917;Identifier;79990 
271;299078;Identifier;79983 
272;209153;Identifier;79981 
272;357165;Line;79868 
275;362168;Identifier;79834 
277;248499;Identifier;79832 
279;29826;Identifier;79842 
284;392162;Identifier;79831 
285;332930;Literal;79823 
286;21973;Identifier;79822 
289;308953;Identifier;79759 
291;49446;Line;79280 
293;45365;Line;78870 
294;48124;Literal;78838 
296;124520;Literal;78852 
297;170231;Identifier;78846 
300;356462;Identifier;78832 
305;223327;Identifier;78819 
306;44718;Identifier;78782 
309;227311;Line;78624 
311;244822;Literal;78620 
312;226918;Identifier;78620 
313;231600;Literal;78617 
314;317866;Identifier;78636 
315;101860;Identifier;78636 
316;339808;Identifier;78634 
317;103778;Identifier;78634 
318;281846;Identifier;78633 
322;209546;Line;78626 
325;142783;Identifier;78615 
325;111782;Literal;78531 
327;184865;Identifier;78430 
329;362744;ThisExpression;78418 
331;117535;ThisExpression;78425 
332;196584;ArrayExpression;78425 
335;32154;Identifier;78424 
338;36914;Identifier;78456 
339;81228;Literal;78433 
339;416055;Identifier;78413 
342;314984;Identifier;78403 
348;234854;Identifier;78393 
350;333097;Identifier;78392 
355;172968;ArrayExpression;78363 
358;403851;ObjectExpression;78361 
359;61340;Line;78316 
366;18930;Identifier;78301 
366;266192;Literal;78320 
369;70839;Identifier;77508 
371;9722;Identifier;77490 
375;358154;Line;77458 
379;414556;Literal;77429 
382;399593;Identifier;77428 
385;43061;Literal;77392 
390;219300;Identifier;77357 
391;165787;Line;77331 
392;112060;Identifier;77310 
395;453;Literal;77266 
396;408777;Identifier;77243 
403;398886;Line;77153 
404;280460;Identifier;77152 
405;265536;Identifier;77150 
406;231375;Identifier;77159 
408;371893;Identifier;77173 
412;3037;Identifier;77151 
414;435;Identifier;77131 
415;376920;Identifier;77138 
417;353938;Identifier;77086 
418;92736;Literal;77078 
418;299686;Identifier;77089 
419;322119;Literal;76957 
424;167235;Literal;76952 
425;87779;Literal;76948 
426;181359;Identifier;76911 
426;323769;Identifier;76911 
430;183274;Literal;76890 
432;244124;Line;76883 
434;342829;Identifier;76771 
436;386109;Literal;76747 
438;364324;Identifier;76739 
442;182032;Identifier;76679 
444;25328;Literal;76551 
447;264728;Identifier;76550 
449;172216;Identifier;76538 
449;288018;ObjectExpression;76524 
451;33672;Literal;76491 
452;35594;Identifier;76462 
453;252068;Identifier;76460 
456;289329;Identifier;76441 
458;130654;Identifier;76439 
460;202483;Identifier;76423 
463;324660;Block;76348 
465;220577;Identifier;76347 
468;396682;Identifier;76372 
471;340853;Identifier;76370 
472;154365;Identifier;76332 
474;356001;Line;76282 
475;285318;Line;76257 
480;200166;Line;76040 
484;162566;Identifier;76026 
485;106895;Identifier;76024 
488;128943;Identifier;76022 
492;50676;Literal;76013 
493;98061;Identifier;76013 
495;272979;Identifier;75985 
498;284992;Identifier;75974 
499;378956;Line;75961 
504;238585;Identifier;75966 
504;396854;Identifier;75887 
505;383551;Identifier;75861 
508;318423;Literal;75815 
510;289961;Identifier;74064 
519;178104;Literal;74036 
529;165263;ThisExpression;73907 
531;203993;Identifier;73916 
532;234967;Identifier;73813 
534;186690;Identifier;73804 
534;310943;Literal;73717 
536;396438;Literal;73714 
538;141154;Identifier;73712 
540;152795;Identifier;73724 
542;126170;Identifier;73737 
544;276928;Identifier;73737 
546;132312;Literal;73735 
548;313092;ThisExpression;73731 
549;349418;Line;73814 
550;312536;Line;73341 
553;5958;Identifier;73299 
554;218014;Identifier;73306 
554;368993;Identifier;73250 
556;117824;Identifier;73249 
559;4924;Identifier;73213 
563;111405;Identifier;73213 
565;252912;Identifier;73211 
566;245931;Identifier;73210 
571;318253;Literal;73198 
576;53444;Identifier;73198 
581;212994;Identifier;73141 
582;85638;Identifier;73113 
585;269279;Identifier;73087 
590;316255;Identifier;73093 
592;111138;Identifier;72965 
594;222302;Literal;72974 
595;49417;Identifier;72972 
595;4802;Identifier;72972 
596;37572;Line;72211 
598;112646;Literal;72190 
599;27339;Identifier;72190 
600;204335;Identifier;72193 
600;221904;Identifier;71669 
603;83096;Literal;71660 
603;152833;ObjectExpression;71567 
608;15637;Identifier;71565 
612;39596;Identifier;71561 
613;33538;Identifier;71564 
614;94973;Identifier;71564 
622;99489;Identifier;71564 
622;237152;Identifier;71532 
623;35382;Identifier;71521 
628;51490;Identifier;71519 
631;193365;Identifier;70991 
632;150091;Literal;70950 
633;187052;Identifier;70896 
634;389930;Identifier;70883 
637;168050;Literal;70879 
638;123076;Identifier;70869 
640;116203;Literal;70864 
643;340810;Line;70446 
647;36239;Literal;70444 
650;370329;Identifier;70385 
658;104997;Identifier;70383 
666;68276;Line;70383 
673;366475;Literal;70309 
675;21618;Identifier;70299 
677;158322;BlockStatement;70299 
678;330610;Identifier;70297 
679;319796;Identifier;70296 
680;354878;Identifier;70315 
685;287158;Identifier;70315 
691;268244;Identifier;70315 
692;53513;BlockStatement;70284 
710;389468;Identifier;70260 
712;145049;Identifier;70245 
713;311519;Identifier;70085 
715;80118;Identifier;70104 
717;308282;Identifier;70106 
718;245489;Identifier;70105 
725;324176;Identifier;70103 
728;135166;Literal;70095 
729;376288;Identifier;70093 
731;267164;Identifier;70093 
732;38204;Identifier;70033 
738;261857;Identifier;70033 
741;307770;Identifier;70025 
742;388063;Identifier;70023 
744;151530;Identifier;70026 
746;389216;Line;70019 
751;249416;Line;69505 
752;78125;Identifier;69446 
753;361987;Identifier;69420 
758;203718;Identifier;69408 
760;155175;Identifier;69386 
762;222377;Identifier;69339 
768;24512;Identifier;69314 
768;335538;Literal;69249 
773;291027;Identifier;69247 
774;14390;Identifier;69215 
775;281587;Identifier;69220 
776;326345;Literal;69206 
778;326187;Literal;69206 
782;3504;Line;69119 
