counter;index;instructionType;totalChars 
0;0;original;49636 
28;24582;Identifier;49634 
31;12175;Literal;49634 
41;13616;Block;49630 
50;47991;ObjectExpression;49623 
94;55716;Identifier;49621 
101;280349;Line;49513 
135;66415;Identifier;49492 
140;236661;Identifier;49488 
155;138779;Identifier;49491 
180;125303;Identifier;49490 
184;4526;Literal;49486 
187;273572;Literal;49382 
242;138625;Literal;49380 
253;212142;Identifier;49362 
273;26654;Identifier;49353 
295;184217;Identifier;49387 
302;49693;Identifier;49373 
306;221350;Identifier;49364 
323;85749;Identifier;49354 
332;196579;Identifier;49343 
390;99888;Literal;49338 
401;78726;Identifier;49337 
412;67425;Identifier;49260 
428;704;Literal;49257 
431;272645;Literal;49257 
447;219928;Identifier;49256 
448;98936;Literal;49239 
455;85430;Literal;49239 
479;65881;Literal;49229 
515;59486;Identifier;49228 
552;227684;Identifier;49223 
556;78076;Literal;49216 
568;232570;Identifier;49207 
600;67189;Literal;49199 
612;119776;Literal;49135 
613;78699;Identifier;49133 
686;125294;Identifier;49147 
720;26606;Literal;49141 
722;12103;Literal;49141 
723;100640;Identifier;49140 
734;170798;Identifier;49132 
779;79807;Identifier;49130 
782;115742;Identifier;49131 
784;123739;Identifier;49122 
789;20240;Line;49046 
798;35602;Literal;49042 
800;65413;Literal;49033 
803;97064;Identifier;49028 
817;64157;Literal;49026 
819;194881;Identifier;49015 
828;99551;Identifier;49004 
838;142806;Identifier;49002 
852;231958;Identifier;48999 
925;107145;Identifier;48998 
964;62513;Identifier;48919 
978;24741;Identifier;48988 
982;267550;Literal;48978 
