counter;index;instructionType;totalChars 
0;0;original;36858 
7;122914;Identifier;36842 
9;81153;Literal;36840 
11;114581;Line;36767 
12;85213;Literal;36765 
13;81363;Literal;36763 
13;129037;Literal;36694 
15;126260;Identifier;36679 
22;72689;Literal;36665 
24;121502;Line;36586 
26;77664;Literal;36572 
26;146563;Identifier;36567 
27;143881;Identifier;36548 
30;95908;Literal;36539 
32;114219;Identifier;36523 
34;77492;Literal;36509 
34;146740;Literal;36504 
39;75727;Literal;36490 
39;130674;Literal;36422 
46;75013;Literal;36408 
46;146329;Identifier;36370 
50;99229;Line;36292 
52;31902;Literal;36274 
55;113215;Identifier;36262 
56;135795;Literal;36249 
58;144149;Literal;36230 
59;84785;Literal;36228 
60;92010;Literal;36219 
61;29424;Literal;36201 
62;2236;Literal;36079 
64;63506;Literal;36034 
73;65546;Literal;36020 
74;142098;Literal;35982 
78;112745;Identifier;35966 
79;113793;Line;35883 
81;127677;Identifier;35873 
85;61506;Literal;35859 
89;85335;Literal;35857 
90;24131;Line;35846 
91;83041;Literal;35844 
92;162177;Literal;35835 
93;159433;Literal;35827 
95;2439;Literal;35770 
101;94520;Identifier;35754 
101;72064;Literal;35745 
102;137126;Literal;35731 
102;102514;Identifier;35726 
106;70860;Literal;35687 
108;101481;Literal;35678 
112;85162;Literal;35676 
113;68902;Literal;35662 
115;8791;Literal;35660 
120;80908;Literal;35658 
125;96902;Line;35581 
126;157623;Literal;35450 
127;134198;Literal;35435 
127;145417;Line;35408 
129;129286;Literal;35399 
130;90836;Literal;35390 
131;137079;Literal;35375 
133;85248;Literal;35373 
135;160496;Literal;35372 
135;128681;Literal;35304 
136;93404;Identifier;35288 
137;141188;Identifier;35269 
138;62544;Literal;35258 
144;70110;Literal;35244 
145;134050;Literal;35233 
146;66952;Literal;35195 
147;10706;Literal;35192 
148;81406;Literal;35190 
151;100312;Literal;35181 
154;82246;Literal;35179 
157;65668;Literal;35165 
160;72225;Literal;35127 
163;134223;Literal;35112 
163;126810;Literal;35051 
165;132884;Literal;35036 
165;106753;Literal;34976 
167;96392;Identifier;34956 
169;84145;Literal;34954 
174;71600;Literal;34940 
175;99616;Literal;34931 
179;113837;Identifier;34915 
181;135856;Literal;34891 
183;100502;Literal;34882 
188;100542;Line;34824 
191;82184;Literal;34822 
191;67431;Literal;34812 
195;80335;Literal;34810 
197;102346;Literal;34801 
203;125545;Literal;34725 
204;61885;Literal;34711 
205;110331;Literal;34655 
206;102343;Line;34584 
214;79662;Literal;34582 
218;138068;Literal;34563 
219;82798;Literal;34561 
220;96077;Line;34479 
222;68548;Literal;34469 
227;79098;Identifier;34441 
229;97602;Identifier;34423 
230;61026;Literal;34409 
230;72741;Literal;34371 
231;67196;Literal;34344 
231;100907;Line;34308 
235;109683;Identifier;34293 
236;99392;Identifier;34277 
237;83902;Literal;34275 
239;81032;Literal;34273 
240;69408;Literal;34259 
246;109090;Line;34197 
249;68119;Literal;34183 
251;137153;Identifier;34164 
252;113627;Literal;34150 
254;58919;Literal;34139 
255;76037;Literal;34125 
256;6094;Literal;34125 
259;80636;Literal;34123 
263;122840;Literal;34049 
268;97006;Line;33984 
272;82176;Literal;33982 
274;68190;Literal;33968 
274;68319;Literal;33972 
277;63505;Literal;33958 
279;119861;Literal;33949 
281;70856;Literal;33935 
