counter;index;instructionType;totalChars 
0;0;original;2911 
30;10706;Identifier;2909 
49;11466;Identifier;2907 
63;6500;Identifier;2904 
66;12812;Literal;2902 
128;12696;Identifier;2900 
152;11154;Identifier;2898 
183;10041;Identifier;2894 
187;10190;Literal;2892 
208;234;ObjectExpression;2877 
295;9867;Identifier;2875 
303;4065;Identifier;2861 
354;7497;Identifier;2861 
385;8509;Identifier;2861 
390;7780;Literal;2861 
398;9046;Identifier;2861 
401;8825;Identifier;2861 
408;3643;Identifier;2857 
443;3643;Identifier;2858 
692;8572;Identifier;2858 
723;11980;Literal;2858 
893;9332;Literal;2855 
