counter;index;instructionType;totalChars 
0;0;original;48071 
21;20210;Identifier;48069 
40;224215;Literal;48075 
48;179638;ThisExpression;48037 
59;180021;Literal;48032 
63;78166;Literal;48030 
80;47561;Literal;48027 
85;133842;Identifier;48026 
89;192795;Literal;48023 
124;15783;Identifier;47965 
144;4309;ArrayExpression;47951 
170;119595;Identifier;47949 
218;5200;Identifier;47942 
227;151153;Identifier;47938 
236;150777;ObjectExpression;47928 
237;78802;Literal;47925 
254;14352;Identifier;47679 
262;166866;Identifier;47678 
265;166307;Identifier;47676 
292;222693;Literal;47677 
305;148484;Literal;47676 
330;112850;Identifier;47684 
346;182439;Identifier;47682 
365;133096;Identifier;47656 
366;144710;ThisExpression;47604 
371;18699;Identifier;47595 
373;74388;Identifier;47593 
376;181886;Literal;47582 
383;77553;Literal;47577 
387;181956;Literal;47574 
396;75228;Identifier;47567 
421;101748;Identifier;47566 
449;189487;Line;47551 
479;109561;BreakStatement;47512 
487;111669;Identifier;47481 
504;221582;Literal;47475 
521;83784;ThisExpression;47455 
526;161899;Identifier;47454 
566;189809;Line;47439 
571;73886;Literal;47431 
611;141645;Literal;47429 
621;126272;Identifier;47434 
626;164535;Literal;47412 
657;135627;Identifier;47401 
675;68653;Identifier;47400 
692;90836;Identifier;47398 
698;116709;Literal;47372 
703;221205;Literal;47372 
711;18580;Identifier;47356 
721;5200;Identifier;47347 
750;208593;Identifier;47339 
759;90239;Literal;47336 
772;50477;Literal;47321 
791;169842;Identifier;47295 
793;109301;Literal;47283 
807;140896;Literal;47273 
814;131776;Identifier;47270 
819;80051;Identifier;47242 
882;155986;Literal;47233 
900;162161;Identifier;47232 
939;203698;Identifier;47222 
940;165208;Identifier;47220 
959;81565;ThisExpression;47216 
962;66472;Line;47200 
979;84796;Identifier;47197 
