counter;index;instructionType;totalChars 
0;0;original;18323 
7;24387;Literal;18321 
8;49957;Identifier;18319 
8;16305;Identifier;18301 
9;36334;Identifier;18299 
10;39706;Identifier;18288 
14;67616;Literal;18283 
30;53890;Literal;18280 
36;9588;Literal;18276 
42;6569;Identifier;18272 
73;22089;Identifier;18238 
76;43586;Identifier;18236 
76;593;Literal;18199 
79;72357;Identifier;18197 
85;15549;Identifier;18102 
94;37446;ThisExpression;18083 
98;42110;Identifier;18081 
102;49136;Literal;18079 
104;179;Block;18043 
108;61828;Identifier;18041 
110;61613;Literal;18039 
116;49059;Identifier;18022 
118;42909;Identifier;18020 
119;44653;Identifier;18002 
124;19668;Identifier;17991 
131;53668;Identifier;17989 
134;17460;Line;17954 
143;57765;Identifier;17952 
145;10147;Identifier;17948 
148;53375;Identifier;17956 
159;69531;Identifier;17966 
160;30030;Identifier;17964 
161;25841;Line;17932 
171;14450;Literal;17927 
174;631;Block;17927 
175;52680;Literal;17925 
181;66031;Literal;17920 
185;39101;Identifier;17918 
190;61378;Identifier;17916 
192;13906;Literal;17909 
198;33917;Identifier;17901 
200;60852;Literal;17899 
212;49283;Literal;17894 
217;48688;Identifier;17892 
222;52206;Identifier;17891 
226;47272;Identifier;17889 
239;48736;Literal;17887 
257;19031;Identifier;17876 
257;67031;Literal;17876 
259;68967;Identifier;17890 
266;14519;Identifier;17888 
277;46735;Identifier;17886 
278;34880;Identifier;17884 
281;48602;Identifier;17867 
289;34453;BreakStatement;17861 
308;675;Literal;17853 
326;52739;Identifier;17851 
334;26232;Identifier;17817 
342;44304;Literal;17815 
352;20766;Literal;17757 
361;42015;Identifier;17755 
379;71236;Literal;17753 
388;20305;Identifier;17742 
392;28594;Identifier;17724 
399;44413;Literal;17722 
406;14805;Literal;17720 
423;29143;Identifier;17719 
423;68224;Identifier;17730 
425;33251;Identifier;17696 
433;62190;Literal;17688 
434;33579;Identifier;17680 
437;56899;Identifier;17678 
445;58197;Literal;17674 
451;35207;Identifier;17672 
468;41648;Identifier;17670 
473;37356;Literal;17630 
474;71320;Identifier;17628 
484;15679;Identifier;17626 
492;31333;Identifier;17624 
495;38157;Identifier;17622 
497;35109;Identifier;17598 
