counter;index;instructionType;totalChars 
0;0;original;12298 
10;16772;Identifier;12303 
10;14909;Line;12158 
11;16715;Identifier;12149 
11;27849;Identifier;12163 
12;29658;Literal;12130 
13;6190;Identifier;12116 
17;41897;Identifier;12121 
20;11588;Identifier;12119 
21;32189;Literal;12098 
29;21892;Identifier;12089 
33;12809;Literal;12058 
34;11562;Identifier;12049 
41;8277;Literal;12050 
42;42757;Literal;12048 
43;28980;Literal;12012 
44;29180;Identifier;12017 
45;38719;Identifier;12022 
47;34404;Identifier;12016 
48;16412;Identifier;12014 
49;19327;Literal;11951 
53;41470;Identifier;11944 
55;16412;Identifier;11942 
60;16575;Identifier;11947 
61;42132;Identifier;11952 
64;6741;Identifier;11881 
69;23498;Literal;11852 
70;12520;Identifier;11850 
76;22851;Identifier;11855 
78;15126;Literal;11853 
83;30585;Identifier;11858 
85;30750;Identifier;11851 
88;30396;Identifier;11845 
89;11023;Identifier;11843 
91;35719;Identifier;11848 
91;32169;Identifier;11724 
92;31236;Identifier;11722 
93;15060;Literal;11715 
94;39623;Identifier;11720 
102;38866;Identifier;11664 
106;43328;Identifier;11662 
108;25917;Literal;11609 
111;39030;Identifier;11607 
112;12583;Identifier;11481 
114;29239;Identifier;11479 
122;36213;Literal;11460 
124;3120;Identifier;11444 
124;1620;BlockStatement;11446 
126;37864;Identifier;11444 
132;43367;Identifier;11438 
135;14972;Identifier;11436 
138;43149;Identifier;11441 
139;808;Literal;11414 
143;10322;Identifier;11367 
152;34994;Identifier;11364 
158;40097;Identifier;11253 
163;31121;Identifier;11251 
165;30632;Literal;11200 
166;34063;Identifier;11075 
167;4277;Identifier;11076 
167;12779;Identifier;10942 
169;19436;Identifier;10875 
174;8054;Literal;10739 
176;9186;ObjectExpression;10743 
177;8175;Literal;10742 
178;21016;Identifier;10675 
179;14939;Literal;10675 
185;29945;Identifier;10676 
187;36736;Identifier;10681 
188;12073;Identifier;10679 
189;27370;Identifier;10677 
190;25982;Identifier;10668 
191;34753;Identifier;10669 
196;3202;Identifier;10666 
196;34233;Identifier;10674 
196;32702;Literal;10661 
197;38454;Identifier;10666 
198;22914;Identifier;10584 
199;27891;Literal;10584 
202;29333;Identifier;10589 
204;16285;Literal;10521 
205;32498;Literal;10521 
206;33792;Identifier;10515 
209;26088;Identifier;10477 
210;10049;Literal;10427 
212;38213;Literal;10377 
214;12863;Literal;10374 
214;32089;Identifier;10375 
215;6160;Identifier;10236 
217;30664;Identifier;10234 
225;15755;Identifier;10106 
227;19309;Identifier;10099 
231;4311;Identifier;10097 
231;27307;Literal;10099 
232;25879;Identifier;10017 
233;14860;Identifier;10015 
234;10619;Identifier;9929 
240;28804;Identifier;9927 
244;8043;Literal;9902 
246;37525;Identifier;9867 
249;7428;Identifier;9865 
251;19134;Literal;9865 
255;27355;Identifier;9726 
256;8169;Identifier;9694 
257;33124;Identifier;9708 
258;12476;Identifier;9701 
261;8679;Identifier;9699 
265;19557;Identifier;9692 
267;10505;Literal;9662 
271;27871;Identifier;9655 
272;13176;Identifier;9679 
275;2406;Identifier;9645 
278;29809;Literal;9646 
279;28038;Literal;9622 
280;25366;Identifier;9620 
282;22162;Identifier;9493 
283;16875;Literal;9430 
285;34916;Literal;9369 
287;29894;Identifier;9367 
293;4146;Identifier;9317 
295;25372;Identifier;9315 
298;8548;Identifier;9315 
298;28593;Identifier;9213 
300;20780;Identifier;9211 
301;24917;Identifier;9209 
302;26443;Literal;9120 
