counter;index;instructionType;totalChars 
0;0;original;4794 
5;5770;Literal;4777 
12;4191;Literal;4765 
28;18234;Identifier;4763 
32;3569;Identifier;4767 
35;2058;Literal;4752 
37;3284;Identifier;4739 
38;1826;ReturnStatement;4723 
40;5043;Identifier;4709 
48;6196;Identifier;4699 
59;13302;Identifier;4681 
64;7689;Literal;4667 
73;9116;Literal;4667 
85;1270;Identifier;4671 
86;3628;Identifier;4650 
94;6530;Literal;4637 
98;12559;Literal;4619 
108;10752;Identifier;4601 
110;4313;Literal;4590 
114;17167;Identifier;4588 
126;1999;ReturnStatement;4571 
128;2795;Identifier;4502 
131;12284;Identifier;4488 
147;11985;Identifier;4470 
150;4039;Identifier;4402 
155;7395;Identifier;4374 
158;10460;Identifier;4356 
174;5102;Identifier;4358 
184;12071;Identifier;4322 
190;5324;Literal;4313 
191;1902;Literal;4262 
193;16146;Literal;4226 
200;7853;Literal;4212 
211;10028;Identifier;4188 
212;4396;Literal;4178 
216;5851;Identifier;4181 
221;10069;Identifier;4151 
243;4346;Literal;4139 
246;1352;Identifier;4110 
264;6917;Identifier;4097 
292;6619;Literal;4087 
303;8486;Identifier;4080 
317;15605;Identifier;4090 
369;14513;Block;3978 
376;15103;Identifier;3971 
384;10125;Literal;3944 
399;14542;Literal;3941 
402;4392;Identifier;3931 
402;318;Literal;3911 
413;6609;Identifier;3880 
414;5658;Identifier;3853 
435;10807;Identifier;3823 
437;7474;Literal;3823 
461;221;Literal;3809 
464;12475;Identifier;3783 
517;9110;Identifier;3735 
522;4326;Literal;3725 
522;2935;Identifier;3650 
555;4998;Literal;3639 
583;3271;Literal;3629 
603;4333;Literal;3586 
619;4458;Identifier;3584 
628;1487;Identifier;3573 
674;1242;Identifier;3571 
677;1136;Identifier;3485 
730;8827;Literal;3483 
740;1258;ReturnStatement;3483 
768;5593;Identifier;3463 
788;6467;Literal;3463 
888;9798;Identifier;3433 
