counter;index;instructionType;totalChars 
0;0;original;1722 
2;1953;Identifier;1703 
6;896;Literal;1689 
10;4286;Identifier;1678 
12;2262;Identifier;1672 
23;3967;Identifier;1628 
24;2158;Identifier;1515 
29;4204;Identifier;1468 
30;2752;ArrayExpression;1456 
42;1962;Literal;1444 
46;473;Identifier;1378 
48;473;Identifier;1322 
50;4326;Line;1299 
55;3518;Literal;1253 
56;1583;ReturnStatement;1244 
57;3339;Identifier;1234 
65;3980;Identifier;1206 
66;3394;Literal;1194 
78;2244;Identifier;1192 
78;4414;Identifier;1167 
80;838;Identifier;1155 
86;2163;Identifier;1153 
100;3412;Literal;1126 
103;2420;Literal;1108 
106;2399;Identifier;1106 
117;1016;ArrayExpression;1098 
125;3601;Identifier;1084 
130;1624;Identifier;1062 
130;1755;Identifier;935 
134;3839;ReturnStatement;935 
140;1111;Identifier;923 
158;2639;Line;857 
166;1461;Identifier;857 
172;3112;Identifier;850 
174;519;Literal;829 
177;882;Identifier;816 
178;3199;Identifier;815 
183;2322;Identifier;813 
200;1211;Identifier;811 
201;2309;Identifier;810 
224;2962;Identifier;803 
238;2941;ObjectExpression;803 
240;2851;Identifier;797 
246;436;Identifier;796 
257;2820;Line;781 
283;2090;Identifier;773 
296;1306;Identifier;773 
300;850;ObjectExpression;763 
313;127;Literal;745 
344;898;BlockStatement;732 
371;2549;Identifier;731 
376;1102;BlockStatement;723 
404;1086;Identifier;722 
442;1818;Identifier;721 
608;1424;Literal;679 
628;1971;Literal;667 
633;2352;BlockStatement;641 
660;30;Literal;639 
859;820;Identifier;628 
870;700;Identifier;621 
943;666;Identifier;620 
