counter;index;instructionType;totalChars 
0;0;original;16152 
7;89020;Literal;16145 
11;74955;Literal;16035 
13;54371;Identifier;16025 
19;44179;Identifier;16024 
47;62610;Identifier;16034 
55;90050;Identifier;16026 
60;135;Identifier;16025 
65;43402;Identifier;16007 
72;54921;Literal;15911 
86;44989;Identifier;15910 
88;48380;Literal;15905 
120;64080;Literal;15903 
126;65290;Identifier;15902 
134;30785;Identifier;15900 
144;2511;Identifier;15902 
146;55272;Line;15862 
169;27119;Identifier;15860 
173;72814;Identifier;15859 
191;42579;Identifier;15858 
202;75560;Line;15806 
207;1004;BlockStatement;15810 
210;70303;Literal;15808 
231;20219;Identifier;15806 
237;77854;Identifier;15802 
245;22647;Identifier;15800 
248;56414;Identifier;15791 
251;51757;Identifier;15789 
260;19512;Identifier;15788 
265;86832;Literal;15781 
299;61116;Identifier;15789 
302;46409;Identifier;15780 
359;71780;Identifier;15779 
413;51057;Identifier;15765 
447;32031;Identifier;15775 
452;44148;Identifier;15769 
453;12788;Identifier;15773 
457;47499;Literal;15771 
485;63397;Identifier;15768 
491;50825;Identifier;15764 
505;36173;Identifier;15763 
507;21871;Identifier;15762 
573;49750;Literal;15748 
581;3015;Identifier;15746 
586;7879;Identifier;15744 
631;54655;Identifier;15743 
720;30696;Identifier;15731 
753;5707;Identifier;15700 
754;54053;Literal;15462 
780;87927;Identifier;15386 
794;5535;Identifier;15363 
812;11439;Identifier;15361 
819;11581;Identifier;15359 
825;17690;Identifier;15358 
833;83922;Literal;15342 
843;66439;Literal;15335 
861;62846;Literal;15332 
865;55299;Identifier;15332 
890;43821;Identifier;15260 
904;2528;Identifier;15258 
908;55360;Identifier;15256 
911;43808;Identifier;15248 
