counter;index;instructionType;totalChars 
0;0;original;4029 
3;15616;ArrayExpression;4050 
4;14463;Literal;4048 
6;13411;Literal;4044 
20;13644;Literal;4026 
21;14844;Literal;4024 
31;8212;Literal;4021 
40;8666;Identifier;4009 
43;15224;Identifier;3972 
52;14127;Literal;3955 
70;13668;Literal;3937 
77;5476;Literal;3935 
77;10508;Identifier;3936 
89;13205;Identifier;3939 
95;14535;Identifier;3917 
100;14487;Identifier;3907 
104;5476;Literal;3905 
113;13445;Literal;3902 
121;13591;Literal;3899 
127;14085;Literal;3908 
132;14276;Literal;3913 
142;13575;Literal;3895 
183;15775;Literal;3874 
207;9817;Literal;3872 
212;13973;Identifier;3758 
217;7833;Literal;3768 
225;10327;Identifier;3728 
242;13272;Literal;3710 
248;13552;BlockStatement;3710 
253;13827;Identifier;3719 
261;10191;BlockStatement;3706 
264;9399;Identifier;3686 
322;10357;Literal;3677 
335;12919;Identifier;3672 
361;5628;Literal;3670 
396;1251;Literal;3668 
415;7700;Literal;3648 
422;13662;Identifier;3647 
437;13692;Literal;3562 
444;13756;Identifier;3556 
470;13093;Identifier;3558 
483;12636;Literal;3447 
517;3;BlockStatement;3447 
555;13509;Identifier;3416 
564;13414;Identifier;3401 
593;9806;Identifier;3379 
596;12630;Literal;3308 
599;9539;Identifier;3308 
612;13097;Identifier;3283 
637;7746;Literal;3255 
660;12741;Literal;3255 
782;5360;Literal;3253 
962;12874;Identifier;3235 
