counter;index;instructionType;totalChars 
0;0;original;8246 
43;7973;Identifier;8226 
47;8904;Identifier;8232 
60;4316;Literal;8223 
158;34843;Identifier;8181 
172;9195;Identifier;8173 
217;34856;Identifier;8099 
221;35429;Literal;8068 
341;10201;Identifier;8067 
401;4273;Literal;8048 
409;10095;Identifier;8043 
414;17050;Identifier;8017 
454;673;Identifier;7999 
539;5272;Literal;7975 
570;17183;Identifier;7894 
599;4111;Literal;7874 
604;34828;Identifier;7854 
620;4971;Literal;7834 
627;4240;Literal;7809 
649;3724;Literal;7792 
695;10826;Identifier;7790 
707;9404;Identifier;7784 
747;4971;Literal;7765 
758;4799;Literal;7750 
810;32642;Identifier;7750 
863;5446;Literal;7738 
895;2828;Literal;7735 
914;10948;Identifier;7733 
926;18170;Literal;7720 
937;19051;ThisExpression;7696 
968;9111;Identifier;7685 
971;4054;Literal;7671 
