nomeBiblioteca	AssignmentExpression	ArrayExpression	BlockStatement	BinaryExpression	BreakStatement	CallExpression	CatchClause	ConditionalExpression	ContinueStatement	DoWhileStatement	DebuggerStatement	EmptyStatement	ExpressionStatement	ForStatement	ForInStatement	FunctionDeclaration	FunctionExpression	Identifier	IfStatement	Literal	LabeledStatement	LogicalExpression	MemberExpression	NewExpression	ObjectExpression	Property	ReturnStatement	SequenceExpression	SwitchStatement	SwitchCase	ThisExpression	ThrowStatement	TryStatement	UnaryExpression	UpdateExpression	VariableDeclaration	VariableDeclarator	WhileStatement	WithStatement	ArrayPattern	ObjectPattern	ArrowFunctionExpression	ClassExpression	TaggedTemplateExpression	Super	YieldExpression	AssignmentPattern	RestElement	MethodDefinition	TemplateElement	TemplateLiteral	SpreadElement	ForOfStatement
ah-opbeat-plugin	6	0	10	2	0	14	0	0	0	0	0	0	18	0	0	0	9	83	1	15	0	0	37	0	3	4	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aws-sdk-q	0	0	4	0	0	8	0	0	0	0	0	0	6	0	0	0	4	30	1	3	0	0	13	1	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b-ioc	17	6	68	5	0	99	1	0	0	0	0	0	76	0	0	9	40	410	14	75	0	7	135	19	6	4	20	0	0	0	14	8	1	7	0	15	15	0	0	0	0	1	0	0	0	0	0	0	0	19	9	0	0
blake2s-js	1195	4	33	2503	1	23	0	1	0	0	0	0	1196	12	1	4	7	3541	21	1798	0	4	221	22	0	0	9	0	1	4	70	9	0	7	13	34	67	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3-box	19	11	35	13	0	201	0	6	0	0	0	0	38	0	0	3	32	511	8	175	0	8	231	0	0	0	41	0	0	0	5	0	0	9	0	15	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3-metatable	8	2	36	10	2	125	0	2	0	0	0	0	44	0	0	11	18	381	8	77	0	4	139	0	6	9	15	0	1	2	7	0	0	1	0	29	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ember-cli-backstretch	7	0	15	4	0	27	0	0	0	0	0	0	19	0	0	1	11	90	3	20	0	0	38	1	7	7	5	0	0	0	10	0	0	0	0	4	4	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0
epiphany	71	20	110	49	0	240	1	9	0	0	0	0	158	0	1	4	66	1216	59	154	0	25	448	10	29	34	35	0	0	0	41	6	1	24	0	29	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glossary-panel	549	71	653	401	1	880	1	57	3	0	0	1	832	60	8	23	350	6178	265	918	0	174	1963	20	77	140	317	4	2	9	333	6	1	156	78	365	491	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gridsize	2	0	11	3	0	29	0	1	0	0	0	0	23	0	0	0	7	108	2	31	0	1	48	0	2	4	2	0	0	0	0	0	0	1	2	9	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
