instance	algorithm	mean	median	std	max
exectimer	RD	0.014768045853483793	0.005104782375067169	0.02075961936945919	0.07469102632993015
exectimer	GA	-0.0015314347125201502	0	0.010146733029745217	0.03600214938205266
jade	RD	0.015933649429985583	0.009601807399039819	0.017988130687733316	0.06918949449308105
jade	GA	0.0009366468982396688	0	0.0032746609306551658	0.02287489409771251
jquery	RD	0.0026439526305571744	0.0011240535818287712	0.005366306223082583	0.03460687245195108
jquery	GA	0	0	0	0
lodash	RD	0.001396568547731338	0.0006098552610180518	0.0020637269317072466	0.009879655228492438
lodash	GA	0.00001321353065539112	0	0.00010235156834586203	0.0007928118393234672
minimist	RD	0.00123668842322226	0	0.002624753835502064	0.014771556166265888
minimist	GA	-0.00004580327493415779	0	0.00035479064204350566	0
node-browserify	RD	0.0019117910868506705	0	0.004158204485856423	0.021065580072268778
node-browserify	GA	0.00004356628482099382	0	0.00025137364676553804	0.0017682786192050434
plivo-node	RD	0.006030729037073896	0.005069669071908435	0.004782334345135327	0.01735506344861906
plivo-node	GA	0.00015136435265820683	0	0.0006172153471981058	0.002674794725055984
tleaf	RD	0.03024332187252049	0.011108172441153134	0.05581529122837638	0.30097857709600634
tleaf	GA	0.00011136012472333972	0	0.0026081582006512627	0.010843692144935203
underscore	RD	0.0015085851081393425	0.0008977216443784051	0.002382831324164225	0.009905894006934125
underscore	GA	0.00036527984150569595	0	0.0021953362838095596	0.01628281327389797
uuid	RD	0.009017953172830313	0.0029784065524944155	0.015253884285878228	0.0784313725490196
uuid	GA	0.0016836270373128154	0	0.00914554828314505	0.06949615289153636
xml2js	RD	0.0015037593984962405	0	0.003369513701346275	0.01819063788503517
xml2js	GA	0.00006265664160401002	0	0.0009471539645380365	0.006427358719379093
