type count frequency rank
ExpressionStatement 1818 5.09108061219033 19.1552070314006
Identifier 827 36.6239108395735 13.0490854035909
VariableDeclaration 1119 1.52698195824225 11.3635188831674
Literal 755 11.6015025836904 8.5408691557771
ReturnStatement 581 1.19198325090503 5.88008968417354
IfStatement 550 1.36086195642187 5.57588003006488
Property 475 2.33763124144608 4.86369525988377
CallExpression 381 5.6485331470033 4.03809302290565
BinaryExpression 386 4.37057590022394 4.03641456208355
FunctionDeclaration 386 0.324223685707428 3.8725557429609
MemberExpression 297 11.7699124922745 3.3661986334763
VariableDeclarator 213 2.44622331911042 2.18341111176812
FunctionExpression 212 1.43513649088469 2.15086788995953
ObjectExpression 177 0.837355727332869 1.78494635049569
AssignmentExpression 162 3.38671181391838 1.6767879764943
UnaryExpression 106 1.06408024736547 1.07140056174772
ArrayExpression 98 0.768942798790402 0.987594033199572
ForStatement 72 0.158829716237363 0.721145393181649
LogicalExpression 58 1.03156810217245 0.586045458009052
WhileStatement 49 0.0570777621753698 0.490279840761504
ConditionalExpression 41 0.38195184425097 0.411572006870663
ForInStatement 41 0.0423722272127558 0.410173799774408
ThisExpression 20 1.9112682869855 0.203897019063469
BlockStatement 18 3.33546642636591 0.186211005573089
EmptyStatement 18 0.0119841011703974 0.180021573967553
TryStatement 13 0.0291194877332048 0.130037866360543
NewExpression 12 0.312895096382256 0.12037665264331
UpdateExpression 9 0.239202630129835 0.0902157985629552
BreakStatement 5 0.109897255095303 0.0500550090810177
ThrowStatement 4 0.069839050466611 0.0400279551437936
SwitchCase 3 0.1353069257914 0.0300406470760464
SwitchStatement 3 0.0192922909230993 0.0300057888040699
