counter;index;instructionType;totalChars;OperationType 
0;0;original;1722 
1;13;Property;1710;m 
1;1;IfStatement;1670;m 
1;8;VariableDeclaration;1586;m 
1;4;ArrayExpression;1510;m 
1;12;ExpressionStatement;1400;m 
1;6;ObjectExpression;1500;m 
1;0;FunctionDeclaration;1290;m 
1;0;FunctionDeclaration;1254;m 
1;5;ExpressionStatement;909;m 
3;7;Property;891;m 
3;0;ArrayExpression;694;m 
5;1;VariableDeclaration;674;m 
7;0;ExpressionStatement;661;m 
7;2;VariableDeclaration;647;m 
9;1;Literal;637;m 
9;0;ExpressionStatement;634;m 
11;1;ArrayExpression;622;m 
27;115;Identifier;605;m 
