lib	round	original	reduced	improvement
d3-node	0	1673	1355	19.00777047220562
d3-node	1	1673	1303	22.115959354453082
d3-node	2	1673	1316	21.338912133891213
d3-node	3	1673	1306	21.936640765092648
d3-node	4	1673	1316	21.338912133891213
d3-node	5	1673	1381	17.453676031081883
d3-node	6	1673	1306	21.936640765092648
d3-node	7	1673	1305	21.996413628212792
d3-node	8	1673	1328	20.62163777644949
d3-node	9	1673	1451	13.269575612671844
exectimer	0	1861	1790	3.8151531434712496
exectimer	1	1861	1689	9.242342826437394
exectimer	2	1861	1516	18.538420204191297
exectimer	3	1861	1666	10.478237506716823
exectimer	4	1861	1861	0
exectimer	5	1861	1696	8.866200967221928
exectimer	6	1861	1674	10.048361096184848
exectimer	7	1861	1689	9.242342826437394
exectimer	8	1861	1861	0
exectimer	9	1861	1861	0
express	0	8743	8743	0
express	1	8743	8738	0.0571886080292785
express	2	8743	8743	0
express	3	8743	8743	0
express	4	8743	8743	0
express	5	8743	8743	0
express	6	8743	8743	0
express	7	8743	8743	0
express	8	8743	8743	0
express	9	8743	8743	0
minimist	0	2911	2911	0
minimist	1	2911	2911	0
minimist	2	2911	2911	0
minimist	3	2911	2911	0
minimist	4	2911	2911	0
minimist	5	2911	2911	0
minimist	6	2911	2911	0
minimist	7	2911	2911	0
minimist	8	2911	2911	0
minimist	9	2911	2911	0
node-semver	0	18323	18323	0
node-semver	1	18323	18323	0
node-semver	2	18323	18323	0
node-semver	3	18323	18323	0
node-semver	4	18323	18323	0
node-semver	5	18323	18323	0
node-semver	6	18323	18323	0
node-semver	7	18323	18323	0
node-semver	8	18323	18323	0
node-semver	9	18323	18323	0
tleaf	0	1722	1078	37.39837398373984
tleaf	1	1722	1124	34.72706155632984
tleaf	2	1722	1175	31.76538908246225
tleaf	3	1722	1186	31.126596980255513
tleaf	4	1722	605	64.86643437862949
tleaf	5	1722	1012	41.23112659698025
tleaf	6	1722	1220	29.152148664343784
tleaf	7	1722	945	45.1219512195122
tleaf	8	1722	642	62.717770034843205
tleaf	9	1722	945	45.1219512195122
underscore	0	16161	16113	0.2970113235567169
underscore	1	16161	15886	1.7016273745436479
underscore	2	16161	15923	1.4726811459686928
underscore	3	16161	15854	1.8996349235814591
underscore	4	16161	15844	1.9615122826557752
underscore	5	16161	15923	1.4726811459686928
underscore	6	16161	15910	1.5531217127653036
underscore	7	16161	15886	1.7016273745436479
underscore	8	16161	15859	1.8686962440443011
underscore	9	16161	15886	1.7016273745436479
uuid	0	4029	4029	0
uuid	1	4029	4029	0
uuid	2	4029	4029	0
uuid	3	4029	4029	0
uuid	4	4029	4029	0
uuid	5	4029	4029	0
uuid	6	4029	4017	0.2978406552494448
uuid	7	4029	4029	0
uuid	8	4029	4029	0
uuid	9	4029	4029	0
