lib	round	original	reduced	improvement
exectimer	0	1861	1861	0
exectimer	1	1861	1861	0
exectimer	2	1861	1861	0
exectimer	3	1861	1861	0
exectimer	4	1861	1861	0
exectimer	5	1861	1861	0
exectimer	6	1861	1861	0
exectimer	7	1861	1861	0
exectimer	8	1861	1861	0
exectimer	9	1861	1861	0
minimist	0	2911	2911	0
minimist	1	2911	2911	0
minimist	2	2911	2911	0
minimist	3	2911	2911	0
minimist	4	2911	2911	0
minimist	5	2911	2911	0
minimist	6	2911	2911	0
minimist	7	2911	2911	0
minimist	8	2911	2911	0
minimist	9	2911	2911	0
tleaf	0	1722	822	52.26480836236934
tleaf	1	1722	733	57.43321718931475
tleaf	2	1722	1153	33.04297328687572
tleaf	3	1722	792	54.00696864111498
tleaf	4	1722	591	65.67944250871079
tleaf	5	1722	508	70.49941927990709
tleaf	6	1722	508	70.49941927990709
tleaf	7	1722	144	91.63763066202091
tleaf	8	1722	629	63.472706155632984
tleaf	9	1722	1068	37.97909407665505
underscore	0	16161	15914	1.5283707691355772
underscore	1	16161	15827	2.0667037930821124
underscore	2	16161	15923	1.4726811459686928
underscore	3	16161	15660	3.1000556896231615
underscore	4	16161	15654	3.137182105067751
underscore	5	16161	15660	3.1000556896231615
underscore	6	16161	15923	1.4726811459686928
underscore	7	16161	15660	3.1000556896231615
underscore	8	16161	15934	1.4046160509869452
underscore	9	16161	15857	1.8810717158591643
uuid	0	4029	4029	0
uuid	1	4029	4029	0
uuid	2	4029	4029	0
uuid	3	4029	4029	0
uuid	4	4029	4029	0
uuid	5	4029	4029	0
uuid	6	4029	4029	0
uuid	7	4029	4029	0
uuid	8	4029	4029	0
uuid	9	4029	4029	0
