counter;index;instructionType;totalChars;OperationType 
0;0;original;1722 
1;2;UnaryExpression;1694;m 
1;9;ExpressionStatement;1620;m 
1;0;FunctionDeclaration;1290;m 
1;9;VariableDeclaration;1240;m 
1;14;CallExpression;1151;m 
1;21;Property;1201;m 
1;5;ExpressionStatement;945;m 
3;12;Property;933;m 
3;1;ObjectExpression;869;m 
3;0;ArrayExpression;730;m 
3;4;VariableDeclaration;733;m 
5;0;AssignmentExpression;715;m 
5;2;VariableDeclaration;706;m 
5;1;ExpressionStatement;559;m 
7;3;Literal;549;m 
7;0;AssignmentExpression;541;m 
9;3;VariableDeclaration;537;m 
9;1;VariableDeclaration;521;m 
13;0;ExpressionStatement;508;m 
