counter;index;instructionType;totalChars;OperationType 
0;0;original;1861 
1;2;FunctionExpression;1807;m 
1;4;ExpressionStatement;1789;m 
1;0;ReturnStatement;1777;c 
1;0;Literal;1770;c 
1;0;ReturnStatement;1785;c 
1;0;FunctionExpression;1735;c 
1;0;ReturnStatement;1723;c 
1;0;FunctionExpression;1716;c 
1;0;FunctionExpression;1750;c 
2;0;ReturnStatement;1738;c 
2;0;ReturnStatement;1719;c 
11;18;ExpressionStatement;1708;m 
16;0;ExpressionStatement;1695;m 
31;9;IfStatement;1701;m 
33;0;ExpressionStatement;1688;c 
59;7;IfStatement;1602;m 
67;2;ExpressionStatement;1584;m 
73;9;ReturnStatement;1562;m 
84;5;IfStatement;1562;m 
