counter;index;instructionType;totalChars;OperationType 
0;0;original;8743 
1;33;ReturnStatement;8744;m 
1;38;ReturnStatement;8726;m 
3;27;ExpressionStatement;8697;m 
19;9;ExpressionStatement;8618;m 
21;63;IfStatement;8610;m 
39;4;FunctionDeclaration;8605;m 
45;68;IfStatement;8601;m 
49;0;VariableDeclaration;8564;m 
counter;index;instructionType;totalChars;OperationType 
0;0;original;8743 
1;35;VariableDeclaration;8725;m 
1;77;Literal;8678;m 
1;4;IfStatement;8700;m 
3;13;ExpressionStatement;8634;m 
3;53;IfStatement;8630;m 
13;35;VariableDeclaration;8612;m 
15;2;Property;8608;m 
