counter;index;instructionType;totalChars;OperationType 
0;0;original;1722 
1;2;UnaryExpression;1694;m 
1;2;FunctionDeclaration;1668;m 
1;3;ExpressionStatement;1639;m 
1;9;ObjectExpression;1649;m 
1;5;VariableDeclaration;1665;m 
1;10;ObjectExpression;1586;m 
1;0;ArrayExpression;1507;m 
1;6;VariableDeclaration;1502;m 
1;0;FunctionDeclaration;1290;m 
1;9;ReturnStatement;1272;m 
1;1;BinaryExpression;1275;m 
2;1;FunctionDeclaration;1217;m 
2;0;FunctionDeclaration;1147;m 
11;5;ExpressionStatement;621;m 
