counter;index;instructionType;totalChars;OperationType 
0;0;original;4029 
1;126;Literal;4026;m 
1;2;ArrayExpression;4050;m 
1;64;CallExpression;3892;m 
1;0;IfStatement;3828;c 
1;0;VariableDeclaration;3785;c 
1;0;IfStatement;3838;c 
1;0;IfStatement;3804;c 
1;0;IfStatement;3749;c 
1;0;IfStatement;3714;c 
1;0;VariableDeclaration;3731;c 
1;0;ReturnStatement;3714;c 
1;0;IfStatement;3660;c 
2;0;ArrayExpression;3667;c 
2;0;IfStatement;3643;c 
2;0;ReturnStatement;3650;c 
2;0;IfStatement;3571;c 
2;0;BinaryExpression;3554;c 
3;0;ArrayExpression;3561;c 
3;0;Property;3543;c 
4;26;FunctionExpression;3541;m 
5;0;ReturnStatement;3551;c 
6;0;ReturnStatement;3533;c 
6;0;ExpressionStatement;3543;c 
