lib	round	original	reduced	improvement
browserify	0	13105	9776	25.402518122853877
d3-node	0	1673	1238	26.001195457262398
exectimer	0	1861	1363	26.759806555615256
express	0	8743	7354	15.886995310534147
minimist	0	2911	2830	2.7825489522500817
node-semver	0	18323	15856	13.463952409539928
plivo-node	0	12325	10434	15.342799188640967
pug	0	4800	2911	39.354166666666664
tleaf	0	1722	589	65.79558652729384
underscore	0	16161	14306	11.47825010828538
uuid	0	4029	3190	20.82402581285679
xml2js	0	8301	7959	4.119985543910374
