lib	round	original	reduced	improvement
browserify	0	13105	13105	0
browserify	1	13105	13105	0
browserify	2	13105	13105	0
browserify	3	13105	13105	0
browserify	4	13105	13105	0
browserify	5	13105	13105	0
browserify	6	13105	13105	0
browserify	7	13105	13105	0
browserify	8	13105	13105	0
browserify	9	13105	13105	0
browserify	10	13105	13105	0
browserify	11	13105	13105	0
browserify	12	13105	13105	0
browserify	13	13105	13105	0
browserify	14	13105	13105	0
browserify	15	13105	13105	0
browserify	16	13105	13105	0
browserify	17	13105	13105	0
browserify	18	13105	13105	0
browserify	19	13105	13105	0
browserify	20	13105	13105	0
browserify	21	13105	13105	0
browserify	22	13105	13105	0
browserify	23	13105	13105	0
browserify	24	13105	13105	0
browserify	25	13105	13105	0
browserify	26	13105	13105	0
browserify	27	13105	13105	0
browserify	28	13105	13105	0
browserify	29	13105	13105	0
d3-node	0	1673	1541	7.890017931858935
d3-node	1	1673	1531	8.48774656306037
d3-node	2	1673	1358	18.828451882845187
d3-node	3	1673	1331	20.442319187089055
d3-node	4	1673	1326	20.74118350268978
d3-node	5	1673	1305	21.996413628212792
d3-node	6	1673	1368	18.230723251643752
d3-node	7	1673	1308	21.817095038852358
d3-node	8	1673	1606	4.004781829049605
d3-node	9	1673	1477	11.71548117154812
d3-node	10	1673	1381	17.453676031081883
d3-node	11	1673	1552	7.232516437537356
d3-node	12	1673	1629	2.6300059772863165
d3-node	13	1673	1349	19.366407650926476
d3-node	14	1673	1381	17.453676031081883
d3-node	15	1673	1449	13.389121338912133
d3-node	16	1673	1469	12.193664076509265
d3-node	17	1673	1341	19.84459055588762
d3-node	18	1673	1344	19.6652719665272
d3-node	19	1673	1539	8.009563658099225
d3-node	20	1673	1308	21.817095038852358
d3-node	21	1673	1381	17.453676031081883
d3-node	22	1673	1532	8.427973699940225
d3-node	23	1673	1539	8.009563658099225
d3-node	24	1673	1381	17.453676031081883
d3-node	25	1673	1381	17.453676031081883
d3-node	26	1673	1381	17.453676031081883
d3-node	27	1673	1475	11.83502689778841
d3-node	28	1673	1312	21.578003586371793
d3-node	29	1673	1381	17.453676031081883
exectimer	0	1861	1747	6.125738850080609
exectimer	1	1861	1675	9.994626544868353
exectimer	2	1861	1629	12.466415905427183
exectimer	3	1861	1740	6.501880709296074
exectimer	4	1861	1629	12.466415905427183
exectimer	5	1861	1616	13.164965072541648
exectimer	6	1861	1696	8.866200967221928
exectimer	7	1861	1768	4.99731327243417
exectimer	8	1861	1790	3.8151531434712496
exectimer	9	1861	1624	12.735088662009673
exectimer	10	1861	1701	8.597528210639439
exectimer	11	1861	1670	10.263299301450829
exectimer	12	1861	1768	4.99731327243417
exectimer	13	1861	1671	10.209564750134334
exectimer	14	1861	1622	12.842557764642663
exectimer	15	1861	1624	12.735088662009673
exectimer	16	1861	1659	10.854379365932289
exectimer	17	1861	1701	8.597528210639439
exectimer	18	1861	1624	12.735088662009673
exectimer	19	1861	1647	11.499193981730258
exectimer	20	1861	1777	4.5137023105857
exectimer	21	1861	1819	2.25685115529285
exectimer	22	1861	1800	3.2778076303062846
exectimer	23	1861	1717	7.7377753895755035
exectimer	24	1861	1794	3.6002149382052693
exectimer	25	1861	1616	13.164965072541648
exectimer	26	1861	1714	7.898979043524989
exectimer	27	1861	1666	10.478237506716823
exectimer	28	1861	1768	4.99731327243417
exectimer	29	1861	1755	5.695862439548634
express	0	8743	8691	0.5947615235045163
express	1	8743	8743	0
express	2	8743	8740	0.034313164817561415
express	3	8743	8663	0.9150177284684844
express	4	8743	8597	1.6699073544549918
express	5	8743	8608	1.5440924167905763
express	6	8743	8738	0.0571886080292785
express	7	8743	8695	0.5490106370810963
express	8	8743	8661	0.9378931716802015
express	9	8743	8734	0.10293949445269845
express	10	8743	8567	2.013039002630677
express	11	8743	8552	2.1846048267185125
express	12	8743	8582	1.8414731785428273
express	13	8743	8539	2.333295207594645
express	14	8743	8499	2.7908040718288873
express	15	8743	8673	0.8006405124099274
express	16	8743	8711	0.3660070913874023
express	17	8743	8725	0.20587898890541112
express	18	8743	8582	1.8414731785428273
express	19	8743	8677	0.7548896259865074
express	20	8743	8678	0.7434519043806489
express	21	8743	8709	0.38888253459910516
express	22	8743	8735	0.09150177284685412
express	23	8743	8722	0.24019215372297253
express	24	8743	8676	0.766327347592366
express	25	8743	8743	0
express	26	8743	8734	0.10293949445269845
express	27	8743	8695	0.5490106370810963
express	28	8743	8695	0.5490106370810963
express	29	8743	8642	1.1552098821914711
minimist	0	2911	2896	0.5152868430092781
minimist	1	2911	2896	0.5152868430092781
minimist	2	2911	2889	0.755754036413606
minimist	3	2911	2874	1.271040879422884
minimist	4	2911	2896	0.5152868430092781
minimist	5	2911	2911	0
minimist	6	2911	2896	0.5152868430092781
minimist	7	2911	2896	0.5152868430092781
minimist	8	2911	2896	0.5152868430092781
minimist	9	2911	2889	0.755754036413606
minimist	10	2911	2896	0.5152868430092781
minimist	11	2911	2896	0.5152868430092781
minimist	12	2911	2896	0.5152868430092781
minimist	13	2911	2889	0.755754036413606
minimist	14	2911	2896	0.5152868430092781
minimist	15	2911	2908	0.10305736860185277
minimist	16	2911	2896	0.5152868430092781
minimist	17	2911	2896	0.5152868430092781
minimist	18	2911	2896	0.5152868430092781
minimist	19	2911	2874	1.271040879422884
minimist	20	2911	2896	0.5152868430092781
minimist	21	2911	2896	0.5152868430092781
minimist	22	2911	2896	0.5152868430092781
minimist	23	2911	2896	0.5152868430092781
minimist	24	2911	2874	1.271040879422884
minimist	25	2911	2896	0.5152868430092781
minimist	26	2911	2896	0.5152868430092781
minimist	27	2911	2896	0.5152868430092781
minimist	28	2911	2896	0.5152868430092781
minimist	29	2911	2889	0.755754036413606
node-semver	0	18323	18323	0
node-semver	1	18323	18323	0
node-semver	2	18323	18323	0
node-semver	3	18323	18323	0
node-semver	4	18323	18323	0
node-semver	5	18323	18323	0
node-semver	6	18323	18323	0
node-semver	7	18323	18323	0
node-semver	8	18323	18323	0
node-semver	9	18323	18323	0
node-semver	10	18323	18323	0
node-semver	11	18323	18323	0
node-semver	12	18323	18323	0
node-semver	13	18323	18323	0
node-semver	14	18323	18323	0
node-semver	15	18323	18323	0
node-semver	16	18323	18323	0
node-semver	17	18323	18323	0
node-semver	18	18323	18323	0
node-semver	19	18323	18323	0
node-semver	20	18323	18323	0
node-semver	21	18323	18323	0
node-semver	22	18323	18323	0
node-semver	23	18323	18323	0
node-semver	24	18323	18323	0
node-semver	25	18323	18323	0
node-semver	26	18323	18323	0
node-semver	27	18323	18323	0
node-semver	28	18323	18323	0
node-semver	29	18323	18323	0
plivo-node	0	12325	11566	6.158215010141987
plivo-node	1	12325	11838	3.9513184584178447
plivo-node	2	12325	11728	4.8438133874239355
plivo-node	3	12325	11773	4.478701825557806
plivo-node	4	12325	12076	2.0202839756592255
