lib	round	original	reduced	improvement
exectimer	0	1861	1530	17.786136485760338
exectimer	1	1861	1707	8.275120902740468
exectimer	2	1861	1861	0
exectimer	3	1861	1461	21.493820526598597
exectimer	4	1861	1517	18.484685652874802
minimist	0	2911	2880	1.0649261422191643
minimist	1	2911	2865	1.5802129852284423
minimist	2	2911	2890	0.7214015802129836
minimist	3	2911	2858	1.8206801786327702
minimist	4	2911	2909	0.06870491240123044
tleaf	0	1722	1096	36.35307781649245
tleaf	1	1722	1232	28.455284552845526
tleaf	2	1722	941	45.354239256678284
tleaf	3	1722	1013	41.17305458768873
tleaf	4	1722	1159	32.69454123112659
uuid	0	4029	3531	12.360387192851817
uuid	1	4029	3735	7.2970960536113125
uuid	2	4029	3667	8.984859766691486
uuid	3	4029	3365	16.48051625713576
uuid	4	4029	3553	11.814345991561183
