lib	round	original	reduced	improvement
exectimer	0	1861	1861	0
exectimer	1	1861	1790	3.8151531434712496
exectimer	2	1861	1766	5.104782375067174
exectimer	3	1861	1794	3.6002149382052693
exectimer	4	1861	1819	2.25685115529285
exectimer	5	1861	1740	6.501880709296074
exectimer	6	1861	1819	2.25685115529285
exectimer	7	1861	1849	0.6448146157979551
exectimer	8	1861	1859	0.10746910263299014
exectimer	9	1861	1849	0.6448146157979551
exectimer	10	1861	1845	0.8597528210639496
exectimer	11	1861	1854	0.3761418592154797
exectimer	12	1861	1860	0.05373455131649507
exectimer	13	1861	1843	0.9672219236969397
exectimer	14	1861	1875	-0.7522837184309452
exectimer	15	1861	1861	0
exectimer	16	1861	1861	0
exectimer	17	1861	1861	0
exectimer	18	1861	1849	0.6448146157979551
exectimer	19	1861	1861	0
exectimer	20	1861	1863	-0.10746910263299014
exectimer	21	1861	1861	0
exectimer	22	1861	1860	0.05373455131649507
exectimer	23	1861	1861	0
exectimer	24	1861	1861	0
exectimer	25	1861	1861	0
exectimer	26	1861	1880	-1.0209564750134348
exectimer	27	1861	1859	0.10746910263299014
exectimer	28	1861	1856	0.26867275658248957
exectimer	29	1861	1830	1.6657710908113899
exectimer	30	1861	1861	0
exectimer	31	1861	1860	0.05373455131649507
exectimer	32	1861	1796	3.492745835572279
exectimer	33	1861	1861	0
exectimer	34	1861	1823	2.0419129500268696
exectimer	35	1861	1819	2.25685115529285
exectimer	36	1861	1798	3.385276732939275
exectimer	37	1861	1861	0
exectimer	38	1861	1819	2.25685115529285
exectimer	39	1861	1832	1.5583019881783997
exectimer	40	1861	1790	3.8151531434712496
exectimer	41	1861	1861	0
exectimer	42	1861	1747	6.125738850080609
exectimer	43	1861	1859	0.10746910263299014
exectimer	44	1861	1861	0
exectimer	45	1861	1844	0.9134873723804446
exectimer	46	1861	1823	2.0419129500268696
exectimer	47	1861	1722	7.469102632993014
exectimer	48	1861	1847	0.7522837184309452
exectimer	49	1861	1859	0.10746910263299014
exectimer	50	1861	1823	2.0419129500268696
exectimer	51	1861	1814	2.5255239118753394
exectimer	52	1861	1861	0
exectimer	53	1861	1861	0
exectimer	54	1861	1751	5.910800644814614
exectimer	55	1861	1859	0.10746910263299014
exectimer	56	1861	1822	2.0956475013433646
exectimer	57	1861	1854	0.3761418592154797
exectimer	58	1861	1726	7.254164427727034
exectimer	59	1861	1789	3.8688876947877446
minimist	0	2911	2911	0
minimist	1	2911	2911	0
minimist	2	2911	2911	0
minimist	3	2911	2911	0
minimist	4	2911	2911	0
minimist	5	2911	2911	0
minimist	6	2911	2911	0
minimist	7	2911	2909	0.06870491240123044
minimist	8	2911	2911	0
minimist	9	2911	2911	0
minimist	10	2911	2911	0
minimist	11	2911	2911	0
minimist	12	2911	2911	0
minimist	13	2911	2911	0
minimist	14	2911	2911	0
minimist	15	2911	2911	0
minimist	16	2911	2907	0.1374098248024751
minimist	17	2911	2894	0.5839917554105085
minimist	18	2911	2892	0.6526966678117532
minimist	19	2911	2907	0.1374098248024751
minimist	20	2911	2906	0.17176228100309743
minimist	21	2911	2909	0.06870491240123044
minimist	22	2911	2894	0.5839917554105085
minimist	23	2911	2911	0
minimist	24	2911	2907	0.1374098248024751
minimist	25	2911	2909	0.06870491240123044
minimist	26	2911	2894	0.5839917554105085
minimist	27	2911	2911	0
minimist	28	2911	2911	0
minimist	29	2911	2907	0.1374098248024751
minimist	30	2911	2911	0
minimist	31	2911	2911	0
minimist	32	2911	2909	0.06870491240123044
minimist	33	2911	2908	0.10305736860185277
minimist	34	2911	2911	0
minimist	35	2911	2911	0
minimist	36	2911	2909	0.06870491240123044
minimist	37	2911	2911	0
minimist	38	2911	2909	0.06870491240123044
minimist	39	2911	2909	0.06870491240123044
minimist	40	2911	2883	0.9618687736173115
minimist	41	2911	2911	0
minimist	42	2911	2908	0.10305736860185277
minimist	43	2911	2902	0.3091721058055583
minimist	44	2911	2911	0
minimist	45	2911	2909	0.06870491240123044
minimist	46	2911	2911	0
minimist	47	2911	2903	0.2748196496049502
