lib,d_mean,p_median,p_mean,p_sd,p_max
browserify,25.402518122853877,0,0,0,0
d3-node,26.001195457262398,17.453676031081883,15.01095835823869,5.809287239282073,21.996413628212792
exectimer,26.759806555615256,8.731864588930684,8.60290166577109,3.5112785601371037,13.164965072541648
express,15.886995310534147,0.6691067139425826,0.8707918715925113,0.7953250805280841,2.7908040718288873
minimist,2.7825489522500817,0.5152868430092781,0.5920073285239923,0.2756599015467203,1.271040879422884
node-semver,13.463952409539928,0,0,0,0
plivo-node,15.342799188640967,4.4097363083164325,4.0684246112238,1.6032895592100864,6.977687626774852
pug,39.354166666666664,1.5833333333333357,1.8826388888888894,1.1212752746488948,5.729166666666671
tleaf,65.79558652729384,44.27990708478514,44.68060394889663,11.21210014479106,71.95121951219512
underscore,11.47825010828538,1.6273745436544829,1.4130726233937712,0.5954644431099424,2.308025493471945
uuid,20.82402581285679,6.378754033258872,5.807065442210639,2.7766996717481147,10.573343261355177
xml2js,4.119985543910374,0.3132152752680426,0.6344617114403884,1.0998166548261485,4.493434525960723
