counter;index;instructionType;totalChars;OperationType 
0;0;original;1861 
1;2729;Identifier;1789;m 
1;6;IfStatement;1790;m 
1;0;BinaryExpression;1752;c 
3;0;IfStatement;1722;c 
4;0;BinaryExpression;1700;c 
5;0;ExpressionStatement;1660;c 
10;0;ReturnStatement;1593;c 
13;3862;Identifier;1595;m 
18;0;IfStatement;1592;c 
33;0;ReturnStatement;1553;c 
51;621;Identifier;1551;m 
52;0;Identifier;1550;c 
57;2709;Identifier;1549;m 
59;5679;Identifier;1538;m 
68;4404;ThisExpression;1526;m 
94;3983;Literal;1517;m 
