counter;index;instructionType;totalChars;OperationType 
0;0;original;1722 
1;854;Literal;1704;m 
1;0;Property;1683;c 
1;1;ReturnStatement;1581;m 
2;0;Property;1560;c 
2;0;ReturnStatement;1553;c 
2;6;ObjectExpression;1479;m 
3;0;Literal;1452;c 
3;0;Property;1440;c 
3;0;ReturnStatement;1424;c 
4;0;ExpressionStatement;1411;c 
4;0;ExpressionStatement;1413;c 
4;0;Property;1412;c 
5;0;ExpressionStatement;1401;c 
5;0;ReturnStatement;1401;c 
5;0;Property;1387;c 
6;0;ReturnStatement;1387;c 
6;555;Literal;1366;m 
6;2063;Identifier;1340;m 
7;0;ExpressionStatement;1327;c 
8;3807;Literal;1281;m 
13;0;ReturnStatement;1281;c 
16;4341;Identifier;1273;m 
17;0;Property;1254;c 
20;4792;Identifier;1257;m 
24;733;Literal;1245;m 
25;0;Property;1232;c 
28;4318;Identifier;1220;m 
29;0;Property;1208;c 
33;4389;Line;1185;m 
41;0;ExpressionStatement;1122;c 
51;0;Literal;1093;c 
53;0;IfStatement;1114;c 
59;0;Literal;1085;c 
59;0;ExpressionStatement;1066;c 
67;0;VariableDeclaration;1066;c 
75;0;Literal;1037;c 
77;4;IfStatement;1029;m 
78;3;IfStatement;1021;m 
90;0;ObjectExpression;1006;c 
93;0;IfStatement;986;c 
96;107;Literal;968;m 
97;0;Property;950;c 
100;1202;Identifier;941;m 
