counter;index;instructionType;totalChars;OperationType 
0;0;original;4029 
1;15601;Literal;4027;m 
1;8541;Literal;4032;m 
1;31;ReturnStatement;4002;m 
1;1;ArrayExpression;4036;m 
1;3;IfStatement;3922;m 
3;0;ReturnStatement;3925;c 
3;0;Literal;3939;c 
3;0;VariableDeclaration;3932;c 
3;13938;Literal;3929;m 
5;0;Literal;3927;c 
5;0;IfStatement;3908;c 
6;0;Literal;3906;c 
6;0;Property;3896;c 
7;0;ReturnStatement;3859;c 
7;0;ReturnStatement;3866;c 
7;0;CallExpression;3844;c 
8;0;ReturnStatement;3814;c 
8;0;ArrayExpression;3851;c 
9;0;CallExpression;3830;c 
10;0;ReturnStatement;3800;c 
11;0;Property;3788;c 
12;0;Literal;3786;c 
19;0;IfStatement;3542;c 
21;0;IfStatement;3516;c 
29;0;Literal;3514;c 
34;13690;Literal;3512;m 
34;14699;Literal;3387;m 
53;14223;Identifier;3373;m 
57;0;ExpressionStatement;3365;c 
77;3;BlockStatement;3365;m 
